Host: ubuntu19  Current process id: 14488
./linkern -s 43 -S linkern.tour -R 1000000000 -t 10000 ./cities1k.tsp
Chained Lin-Kernighan with seed 43
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.07
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 1.53
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.21
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515104241   7.58 seconds
   1 Steps   Best: 1515100049   7.59 seconds
   2 Steps   Best: 1515098942   7.59 seconds
   5 Steps   Best: 1515086006   7.60 seconds
   7 Steps   Best: 1515083368   7.61 seconds
   8 Steps   Best: 1515077998   7.61 seconds
   9 Steps   Best: 1515077403   7.62 seconds
  10 Steps   Best: 1515076099   7.62 seconds
  11 Steps   Best: 1515075813   7.63 seconds
  14 Steps   Best: 1515075123   7.63 seconds
  16 Steps   Best: 1515074802   7.64 seconds
  17 Steps   Best: 1515066913   7.64 seconds
  18 Steps   Best: 1515048746   7.64 seconds
  20 Steps   Best: 1515044154   7.66 seconds
  21 Steps   Best: 1515043718   7.67 seconds
  22 Steps   Best: 1515042294   7.67 seconds
  25 Steps   Best: 1515033377   7.68 seconds
  26 Steps   Best: 1515030924   7.68 seconds
  27 Steps   Best: 1515027322   7.69 seconds
  28 Steps   Best: 1515021096   7.69 seconds
  29 Steps   Best: 1515016508   7.70 seconds
  31 Steps   Best: 1515016054   7.70 seconds
  33 Steps   Best: 1515014103   7.71 seconds
  36 Steps   Best: 1515006287   7.72 seconds
  37 Steps   Best: 1515001044   7.72 seconds
  38 Steps   Best: 1514989763   7.73 seconds
  40 Steps   Best: 1514989459   7.74 seconds
  41 Steps   Best: 1514988652   7.74 seconds
  44 Steps   Best: 1514986035   7.75 seconds
  46 Steps   Best: 1514985126   7.76 seconds
  48 Steps   Best: 1514984673   7.76 seconds
  49 Steps   Best: 1514982708   7.76 seconds
  51 Steps   Best: 1514982440   7.77 seconds
  52 Steps   Best: 1514982118   7.77 seconds
  53 Steps   Best: 1514970783   7.78 seconds
  54 Steps   Best: 1514968540   7.78 seconds
  58 Steps   Best: 1514968036   7.79 seconds
  60 Steps   Best: 1514967696   7.80 seconds
  61 Steps   Best: 1514963346   7.80 seconds
  65 Steps   Best: 1514960842   7.82 seconds
  66 Steps   Best: 1514957767   7.82 seconds
  68 Steps   Best: 1514957718   7.83 seconds
  69 Steps   Best: 1514955698   7.83 seconds
  71 Steps   Best: 1514951111   7.84 seconds
  73 Steps   Best: 1514933033   7.85 seconds
  74 Steps   Best: 1514931272   7.85 seconds
  75 Steps   Best: 1514926338   7.85 seconds
  76 Steps   Best: 1514921595   7.86 seconds
  78 Steps   Best: 1514920008   7.87 seconds
  79 Steps   Best: 1514914870   7.87 seconds
  80 Steps   Best: 1514914545   7.88 seconds
  82 Steps   Best: 1514914096   7.88 seconds
  85 Steps   Best: 1514909745   7.89 seconds
  88 Steps   Best: 1514907330   7.90 seconds
  89 Steps   Best: 1514906990   7.91 seconds
  90 Steps   Best: 1514904525   7.91 seconds
  92 Steps   Best: 1514903295   7.92 seconds
  94 Steps   Best: 1514899330   7.93 seconds
  96 Steps   Best: 1514894072   7.94 seconds
  98 Steps   Best: 1514893744   7.95 seconds
  99 Steps   Best: 1514890615   7.95 seconds
